Kuolaniemi 2016 tuntipohjainen paisteaika:
;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
1;0;0;0;0;0;0;0;0;0;5;12;332;332;122;6;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;70;192;319;325;295;241;177;89;4;0;0;0;0;0;0;0
3;0;0;0;0;0;0;58;292;551;531;662;777;877;860;863;839;652;378;48;0;0;0;0;0
4;0;0;0;0;0;26;404;579;634;565;495;538;503;507;489;565;506;465;454;482;88;0;0;0
5;0;0;0;0;267;672;723;984;1154;1221;1241;1172;1037;1010;962;1019;1014;927;898;834;701;289;6;0
6;0;0;0;26;696;867;871;928;920;858;825;794;868;878;928;736;794;768;759;689;555;595;211;0
7;0;0;0;0;260;515;599;743;991;1055;1046;974;951;822;833;795;789;935;844;752;706;402;42;0
8;0;0;0;0;0;43;385;456;629;536;688;726;837;796;707;649;709;783;480;415;288;35;0;0
9;0;0;0;0;0;0;24;304;378;457;463;545;629;485;547;585;477;420;309;139;0;0;0;0
10;0;0;0;0;0;0;0;8;186;321;311;386;460;465;440;361;342;211;5;0;0;0;0;0
11;0;0;0;0;0;0;0;0;0;50;191;287;290;189;39;0;0;0;0;0;0;0;0;0
12;0;0;0;0;0;0;0;0;0;0;0;39;65;1;0;0;0;0;0;0;0;0;0;0
Yht.;0;0;0;26;1223;2126;3066;4297;5515;5795;6258;6899;7150;6380;5995;5641;5289;4890;3800;3313;2340;1322;260;0
